file_path,label,dataset_source,speaker_id,language,attack_type,generation_method,recording_environment,codec,sample_rate,duration,split
data/real/asvspoof_2021_00001.wav,REAL,ASVspoof_2021,SPK_ASV_001,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.42,train
data/real/asvspoof_2021_00002.wav,REAL,ASVspoof_2021,SPK_ASV_002,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.44,validation
data/real/asvspoof_2021_00003.wav,REAL,ASVspoof_2021,SPK_ASV_003,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.84,train
data/real/asvspoof_2021_00004.wav,REAL,ASVspoof_2021,SPK_ASV_004,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.76,train
data/real/asvspoof_2021_00005.wav,REAL,ASVspoof_2021,SPK_ASV_005,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.58,train
data/real/asvspoof_2021_00006.wav,REAL,ASVspoof_2021,SPK_ASV_006,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.48,train
data/real/asvspoof_2021_00007.wav,REAL,ASVspoof_2021,SPK_ASV_007,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.83,train
data/real/asvspoof_2021_00008.wav,REAL,ASVspoof_2021,SPK_ASV_008,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.54,train
data/real/asvspoof_2021_00009.wav,REAL,ASVspoof_2021,SPK_ASV_009,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.08,train
data/real/asvspoof_2021_00010.wav,REAL,ASVspoof_2021,SPK_ASV_010,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.45,validation
data/real/asvspoof_2021_00011.wav,REAL,ASVspoof_2021,SPK_ASV_011,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.75,train
data/real/asvspoof_2021_00012.wav,REAL,ASVspoof_2021,SPK_ASV_012,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.21,train
data/real/asvspoof_2021_00013.wav,REAL,ASVspoof_2021,SPK_ASV_013,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.44,validation
data/real/asvspoof_2021_00014.wav,REAL,ASVspoof_2021,SPK_ASV_014,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.72,train
data/real/asvspoof_2021_00015.wav,REAL,ASVspoof_2021,SPK_ASV_015,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.44,train
data/real/asvspoof_2021_00016.wav,REAL,ASVspoof_2021,SPK_ASV_016,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.27,train
data/real/asvspoof_2021_00017.wav,REAL,ASVspoof_2021,SPK_ASV_017,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.75,train
data/real/asvspoof_2021_00018.wav,REAL,ASVspoof_2021,SPK_ASV_018,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.34,train
data/real/asvspoof_2021_00019.wav,REAL,ASVspoof_2021,SPK_ASV_019,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.7,train
data/real/asvspoof_2021_00020.wav,REAL,ASVspoof_2021,SPK_ASV_020,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.41,train
data/real/asvspoof_2021_00021.wav,REAL,ASVspoof_2021,SPK_ASV_021,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.69,train
data/real/asvspoof_2021_00022.wav,REAL,ASVspoof_2021,SPK_ASV_022,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,4.52,train
data/real/asvspoof_2021_00023.wav,REAL,ASVspoof_2021,SPK_ASV_023,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.94,train
data/real/asvspoof_2021_00024.wav,REAL,ASVspoof_2021,SPK_ASV_024,en,BONAFIDE,HUMAN,Studio / Clean,pcm_16k,16000,3.65,test
